Data Element,Private Creator,VR,VM,Meaning
"(7053,xx00)",Philips PET Private Group,DS,1,SUV Factor - Multiplying Stored Pixel Values by Rescale Slope then this factor results in SUVbw in g/l
"(7053,xx09)",Philips PET Private Group,DS,1,Activity Concentration Factor - Multiplying Stored Pixel Values by Rescale Slope then this factor results in MBq/ml.
"(00E1,xx21)",ELSCINT1,DS,1,DLP
"(00E1,xx50)",ELSCINT1,DS,1,Acquisition Duration
"(01E1,xx26)",ELSCINT1,CS,1,Phantom Type
"(01F1,xx01)",ELSCINT1,CS,1,Acquisition Type
"(01F1,xx07)",ELSCINT1,DS,1,Table Velocity
"(01F1,xx26)",ELSCINT1,DS,1,Pitch
"(01F1,xx27)",ELSCINT1,DS,1,Rotation Time
"(0019,xx23)",GEMS_ACQU_01,DS,1,Table Speed [mm/rotation]
"(0019,xx24)",GEMS_ACQU_01,DS,1,Mid Scan Time [sec]
"(0019,xx27)",GEMS_ACQU_01,DS,1,Rotation Speed (Gantry Period)
"(0019,xx9E)",GEMS_ACQU_01,LO,1,Internal Pulse Sequence Name
"(0043,xx27)",GEMS_PARM_01,SH,1,"Scan Pitch Ratio in the form ""n.nnn:1"""
"(0045,xx01)",GEMS_HELIOS_01,SS,1,Number of Macro Rows in Detector
"(0045,xx02)",GEMS_HELIOS_01,FL,1,Macro width at ISO Center
"(0903,xx10)",GEIIS PACS,US,1,Reject Image Flag
"(0903,xx11)",GEIIS PACS,US,1,Significant Flag
"(0903,xx12)",GEIIS PACS,US,1,Confidential Flag
"(2001,xx01)",Philips Imaging DD 001,FL,1,MR Image Chemical Shift
"(2001,xx02)",Philips Imaging DD 001,IS,1,MR Image Chemical Shift Number
"(2001,xx03)",Philips Imaging DD 001,FL,1,MR Image Diffusion B-Factor
"(2001,xx04)",Philips Imaging DD 001,CS,1,MR Image Diffusion Direction
"(2001,xx05)",Philips Imaging DD 001,SS,1,Graphic Annotation Parent ID
"(2001,xx06)",Philips Imaging DD 001,CS,1,MR Image Enhanced
"(2001,xx07)",Philips Imaging DD 001,CS,1,MR Image Type Edes
"(2001,xx08)",Philips Imaging DD 001,IS,1,MR Image Phase Number
"(2001,xx09)",Philips Imaging DD 001,FL,1,MR Image Prepulse Delay
"(2001,xx0a)",Philips Imaging DD 001,IS,1,Image Plane Number
"(2001,xx0b)",Philips Imaging DD 001,CS,1,Image Plane Orientation
"(2001,xx0c)",Philips Imaging DD 001,CS,1,MR Series Arrhythmia Rejection
"(2001,xx0e)",Philips Imaging DD 001,CS,1,MR Series Cardiac Cycled
